"Country or Territory Name","City Code","City Name","SDG Sub-Region","SDG Region","Average share of green area in city/urban area 1990 (%)","Average share of green area in city/ urban area 2000 (%)","Average share of green area in city/ urban area 2010 (%)","Average share of green area in city/ urban area 2020 (%)","Green area per capita 1990 (m2/person)","Green area per capita 2000 (m2/person)","Green area per capita 2010 (m2/person)","Green area per capita 2020 (m2/person)","Data Source","FootNote"
"Afghanistan","AF_KABUL","Kabul","Southern Asia","Central and Southern Asia","  5.49 ","  5.80 ","  3.90 ","  3.51 ","  7.75 ","  5.27 ","  2.59 ","  1.71 ","UN-Habitat Urban Indicators Database, 2553","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Afghanistan","AF_HERAT","Herat","Southern Asia","Central and Southern Asia","  11.02 ","  5.15 ","  3.81 ","  3.22 ","  25.02 ","  7.79 ","  3.59 ","  1.75 ","UN-Habitat Urban Indicators Database, 2571","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Afghanistan","AF_MAZAR_E_SHARIF","Mazar-e Sharif","Southern Asia","Central and Southern Asia","  2.63 ","  0.43 ","  0.72 ","  1.21 ","  6.89 ","  1.00 ","  1.29 ","  1.45 ","UN-Habitat Urban Indicators Database, 2655","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Afghanistan","AF_KANDAHAR","Kandahar","Southern Asia","Central and Southern Asia","  2.99 ","  1.73 ","  0.71 ","  0.78 ","  37.05 ","  9.47 ","  2.34 ","  1.66 ","UN-Habitat Urban Indicators Database, 2677","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Algeria","DZ_ANNABA","Annaba","Northern Africa","Western Asia and Northern Africa","  13.31 ","  11.09 ","  9.65 ","  10.94 ","  23.27 ","  18.86 ","  16.48 ","  17.73 ","UN-Habitat Urban Indicators Database, 2365","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Algeria","DZ_BLIDA","Blida","Northern Africa","Western Asia and Northern Africa","  9.96 ","  10.98 ","  9.10 ","  9.96 ","  30.40 ","  25.10 ","  16.21 ","  13.53 ","UN-Habitat Urban Indicators Database, 2381","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Algeria","DZ_CONSTANTINE","Qacentina","Northern Africa","Western Asia and Northern Africa","  2.62 ","  2.81 ","  3.09 ","  4.12 ","  2.81 ","  2.94 ","  3.58 ","  5.18 ","UN-Habitat Urban Indicators Database, 2531","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Algeria","DZ_CHLEF","Chlef","Northern Africa","Western Asia and Northern Africa","  5.24 ","  3.99 ","  4.06 ","  3.88 ","  16.12 ","  9.72 ","  8.19 ","  6.46 ","UN-Habitat Urban Indicators Database, 2538","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Algeria","DZ_BATNA","Batna","Northern Africa","Western Asia and Northern Africa","  0.55 ","  0.60 ","  1.30 ","  2.09 ","  1.08 ","  0.93 ","  1.74 ","  2.42 ","UN-Habitat Urban Indicators Database, 2621","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Algeria","DZ_TIARET","Tiaret (Tihert)","Northern Africa","Western Asia and Northern Africa","  0.73 ","  0.53 ","  0.37 ","  0.15 ","  1.52 ","  0.87 ","  0.51 ","  0.17 ","UN-Habitat Urban Indicators Database, 2690","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
