Country or Territory Name,City Code,City Name,SDG Sub-Region,SDG Region,Average share of green area in city/urban area 1990 (%),Average share of green area in city/ urban area 2000 (%),Average share of green area in city/ urban area 2010 (%),Average share of green area in city/ urban area 2020 (%),Green area per capita 1990 (m2/person),Green area per capita 2000 (m2/person),Green area per capita 2010 (m2/person),Green area per capita 2020 (m2/person),Data Source,FootNote
Afghanistan,AF_KABUL,Kabul,Southern Asia,Central and Southern Asia,5.494391049483738,5.798643139822061,3.895393816764365,3.50968548219121,7.752777056678375,5.27116810921859,2.594089353455769,1.7141639808003888,"UN-Habitat Urban Indicators Database, 2553","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Afghanistan,AF_HERAT,Herat,Southern Asia,Central and Southern Asia,11.016731384193712,5.1478985838282405,3.807389218821386,3.2249314755596217,25.021003134903932,7.792621695062829,3.5872587219136554,1.7469827282917845,"UN-Habitat Urban Indicators Database, 2571","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Afghanistan,AF_MAZAR_E_SHARIF,Mazar-e Sharif,Southern Asia,Central and Southern Asia,2.6279205345531222,0.42827032602358905,0.7231265976052748,1.2096955020404518,6.892555588062382,1.0026134544099796,1.2896642974098882,1.4505778585894384,"UN-Habitat Urban Indicators Database, 2655","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Afghanistan,AF_KANDAHAR,Kandahar,Southern Asia,Central and Southern Asia,2.990564792821325,1.7270387965162313,0.7109395618896807,0.7829682414005454,37.049176027049796,9.472017711682085,2.3381734313803526,1.6599164814440224,"UN-Habitat Urban Indicators Database, 2677","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Algeria,DZ_ANNABA,Annaba,Northern Africa,Western Asia and Northern Africa,13.311474610565321,11.090660881012164,9.645059847395236,10.941956558835718,23.273855481819847,18.86026470205893,16.47517824931911,17.734267525678902,"UN-Habitat Urban Indicators Database, 2365","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Algeria,DZ_BLIDA,Blida,Northern Africa,Western Asia and Northern Africa,9.958623616366673,10.980655656540666,9.09691032759252,9.960981245063728,30.401972278193572,25.095321440071412,16.213260486882263,13.528670956438148,"UN-Habitat Urban Indicators Database, 2381","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Algeria,DZ_CONSTANTINE,Qacentina,Northern Africa,Western Asia and Northern Africa,2.616230317711736,2.810025156060753,3.091400354048269,4.123730550638227,2.8148494665413697,2.9423091736968736,3.5826498305657934,5.179986267609094,"UN-Habitat Urban Indicators Database, 2531","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Algeria,DZ_CHLEF,Chlef,Northern Africa,Western Asia and Northern Africa,5.238777703843988,3.9949838767466854,4.056405794134207,3.87725853508727,16.12458969357169,9.720854618703344,8.193415835357756,6.457137642379314,"UN-Habitat Urban Indicators Database, 2538","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Algeria,DZ_BATNA,Batna,Northern Africa,Western Asia and Northern Africa,0.5548404278929394,0.603666385547518,1.2983266012694779,2.0906387323005955,1.0777051807264029,0.933057587919183,1.7447306333054227,2.4230011184557037,"UN-Habitat Urban Indicators Database, 2621","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Algeria,DZ_TIARET,Tiaret (Tihert),Northern Africa,Western Asia and Northern Africa,0.7283080080776007,0.5263680603833568,0.37077498593041486,0.15228258350713467,1.5157125998016174,0.866592159130938,0.5133684790040929,0.17435827502637355,"UN-Habitat Urban Indicators Database, 2690","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Angola,AO_HUAMBO,Huambo,Middle Africa,Sub-Saharan Africa,8.015558796971591,8.139716607626589,7.763770229909009,7.124748211432936,13.386662946024748,11.601990862558266,11.828469151635165,11.37941155288355,"UN-Habitat Urban Indicators Database, 2454","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Angola,AO_LUENA,Luena,Middle Africa,Sub-Saharan Africa,4.45435060197009,5.518059102517336,5.339064210142291,3.3997628602699796,163.66389062906578,55.64330834148473,16.695909346854652,4.481332978103101,"UN-Habitat Urban Indicators Database, 2559","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
Angola,AO_MALANJE,Malanje,Middle Africa,Sub-Saharan Africa,3.4192449458282135,3.669161175025131,3.7710823187758287,2.634591756952976,12.03106226578423,7.022837098106531,4.750797045718352,2.0646949016748364,"UN-Habitat Urban Indicators Database, 2595","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
